id,product_url,product_name,price,currency,image_url,location,sold,shop_type,list_type,sourcing_status,sourcing_notes,status_updated_at,created_at,updated_at
15,https://shopee.sg/Strong-suction-cup-cat-teaser-with-bell-long-rod-detachable-cat-self-entertainment-toy-i.1006220784.24780416907,Strong suction cup cat teaser with bell long rod detachable cat self-entertainment toy,,,https://down-sg.img.susercontent.com/file/mck54xel3xhw13_tn.webp,,26,Standard,検索/カテゴリー,,,,2025-09-12 11:03:37.806560,2025-09-12 12:23:24.804284
16,https://shopee.sg/%F0%9F%94%A5SG-STOCK%F0%9F%94%A5Fur-Grooming-Thick-Thin-Needle-Comb-Brush-Pet-Brush-Comb-Self-Cleaning-Dog-Brush-Cat-Brush-Grooming-Brush-i.434162407.4994773624,🔥SG STOCK🔥Fur Grooming Thick Thin Needle Comb Brush Pet Brush Comb Self Cleaning Dog Brush Cat Brush Grooming Brush,,,https://down-sg.img.susercontent.com/file/9a2561b3f5bf743b699364d5f7d587ed_tn.webp,,49,Standard,検索/カテゴリー,,,,2025-09-12 11:03:37.807636,2025-09-12 12:23:24.805307
17,https://shopee.sg/Dog-Toothbrush-360%C2%BA-Finger-Tooth-Brush-Kit-Ergonomic-Design-Full-Surround-Bristles-for-Easy-Teeth-Cleaning-Dental-Care-for-Puppies-Cats-and-Small-Pets-4-Pack-Multi-Colored-i.1006220784.24333133909,"Dog Toothbrush - 360º Finger Tooth Brush Kit Ergonomic Design, Full Surround Bristles for Easy Teeth Cleaning, Dental Care for Puppies, Cats and Small Pets, 4-Pack Multi-Colored",,,https://down-sg.img.susercontent.com/file/mckhf79je8u447_tn.webp,,30,Standard,検索/カテゴリー,,,,2025-09-12 11:03:37.808752,2025-09-12 12:23:24.806677
18,https://shopee.sg/Stronghold-for-Cats-(also-known-as-Revolution)-2.6-7.5-kg-(5.1-15-lbs)-i.393832635.21376701595,Stronghold for Cats (also known as Revolution) 2.6-7.5 kg (5.1-15 lbs),,,https://down-sg.img.susercontent.com/file/ltfyafs91xov16_tn.webp,,2,Standard,検索/カテゴリー,,,,2025-09-12 11:03:37.809614,2025-09-12 12:23:24.807939
19,https://shopee.sg/Petcare-Pee-Pad-Charcoal-Absorbent-Pet-Diaper-Training-Pads-i.96953349.1619974845,Petcare Pee Pad Charcoal Absorbent Pet Diaper Training Pads,,,https://down-sg.img.susercontent.com/file/m08c4x7jyfom07_tn.webp,,18,Standard,検索/カテゴリー,,,,2025-09-12 11:03:37.810369,2025-09-12 12:23:24.809181
20,https://shopee.sg/Absolute-Bites-Cat-Dog-Treats-Air-Dried-Freeze-Dried-Duck-Chicken-i.291402948.19849309500,Absolute Bites Cat & Dog Treats | Air Dried | Freeze Dried | Duck | Chicken,,,https://down-sg.img.susercontent.com/file/lvzh2iw0w4zw57_tn.webp,,23808,Standard,検索/カテゴリー,,,,2025-09-12 11:03:37.811165,2025-09-12 12:23:24.810608
21,https://shopee.sg/Jerhigh-Dog-Treats-Sticks-Mix-50g-70g-Healthy-Energy-Boost-i.1049876479.19082742187,Jerhigh Dog Treats & Sticks Mix 50g/70g - Healthy Energy Boost,,,https://down-sg.img.susercontent.com/file/map1vumf40ggaf_tn.webp,,65,Standard,検索/カテゴリー,,,,2025-09-12 11:03:37.811905,2025-09-12 12:23:24.812526
22,https://shopee.sg/-Bundle-of-24-Aatas-Cat-Tantalizing-Tuna-Creamy-Chicken-Nutrient-Rich-Wet-Food-Can-80g-i.268028767.24127138788,[Bundle of 24] Aatas Cat Tantalizing Tuna Creamy Chicken Nutrient-Rich Wet Food Can 80g,,,https://down-sg.img.susercontent.com/file/luur7g25qgeqe0_tn.webp,,7,Standard,検索/カテゴリー,,,,2025-09-12 11:03:37.812662,2025-09-12 12:23:24.814925
23,https://shopee.sg/Pet-Dematting-Comb-Stainless-Steel-Pet-Grooming-Comb-for-Dogs-and-Cats-Gently-Removes-Loose-Undercoat-Flea-Comb-Pretty-Better-i.1006220784.28804204402,Pet Dematting Comb Stainless Steel Pet Grooming Comb for Dogs and Cats Gently Removes Loose Undercoat Flea Comb Pretty&Better,,,https://down-sg.img.susercontent.com/file/mckhe9jwq8b78e_tn.webp,,61,Standard,検索/カテゴリー,,,,2025-09-12 11:03:37.813616,2025-09-12 12:23:24.816053
24,https://shopee.sg/SG-Pet-Deodorant-Spray-Pet-Anti-Bacteria-Odour-Remover-Spray-Pet-Aroma-Deodorizing-Spray-Harmless-to-Lick-i.13842071.24459538654,SG Pet Deodorant Spray/ Pet Anti Bacteria Odour Remover Spray/ Pet Aroma Deodorizing Spray/ Harmless to Lick,,,https://down-sg.img.susercontent.com/file/lqpnz9nhsgmef5_tn.webp,,65,Standard,検索/カテゴリー,,,,2025-09-12 11:03:37.814575,2025-09-12 12:23:24.817167
